Клиентский менеджер (прямых продаж);Сбербанк России;https://kirovsk-spb.superjob.ru/vakansii/klientskij-menedzher-45823855.html;60000;0;Super Job
Врач-невролог;ГБУЗ ЛО «Сертоловская городская больница»;https://sertolovo.superjob.ru/vakansii/vrach-nevrolog-38723989.html;0;0;Super Job
Менеджер по кредитованию;«Почта Банк»;https://staraya-russa.superjob.ru/vakansii/menedzher-po-kreditovaniyu-39914942.html;25000;0;Super Job
Автослесарь по ремонту грузовых автомобилей / автомеханик;Северная столица;https://spb.superjob.ru/vakansii/avtoslesar-po-remontu-gruzovyh-avtomobilej-32540017.html;80000;90000;Super Job
Оператор по продаже банковских продуктов;Тинькофф;https://mezhdurechensk.superjob.ru/vakansii/operator-po-prodazhe-bankovskih-produktov-39482212.html;30000;0;Super Job
Курьер ежедневная оплата;Яндекс;https://kemerovo.superjob.ru/vakansii/kurer-ezhednevnaya-oplata-41539266.html;0;75000;Super Job
Сборщик заказов;Яндекс;https://rnd.superjob.ru/vakansii/sborschik-zakazov-44822661.html;32800;0;Super Job
Почтальон;Почта России;https://mo.superjob.ru/vakansii/pochtalon-37758869.html;14400;17280;Super Job
Геодезист;СИБИТЕК;https://korolev.superjob.ru/vakansii/geodezist-45121029.html;100000;150000;Super Job
Продавец-консультант;МТС Розничная сеть;https://essentuki.superjob.ru/vakansii/prodavec-konsultant-45558222.html;34000;45000;Super Job
Менеджер по продажам (топливный проект);МОНОПОЛИЯ;https://naberezhnye-chelny.superjob.ru/vakansii/menedzher-po-prodazham-45873224.html;130000;0;Super Job
Менеджер по продажам транспортно-экспедиционных услуг;Кадровое агентство уникальных специалистов;https://www.superjob.ru/vakansii/menedzher-po-prodazham-transportno-ekspedicionnyh-uslug-46092271.html;90000;0;Super Job
Мерчендайзер;Никон;https://www.superjob.ru/vakansii/merchendajzer-46138456.html;1000;0;Super Job
Электромонтер на месторождении (УЭЦН);Engine;https://bashkortostan-yazykovo.superjob.ru/vakansii/elektromonter-na-mestorozhdenii-46162378.html;110000;140000;Super Job
Товаровед;Магнит, Розничная сеть;https://anapa.superjob.ru/vakansii/tovaroved-46226317.html;37200;45100;Super Job
Менеджер по работе с недвижимостью;ИНКОМ - Недвижимость;https://www.superjob.ru/vakansii/menedzher-po-rabote-s-nedvizhimostyu-28693755.html;150000;0;Super Job
Продавец-консультант;ВкусВилл;https://www.superjob.ru/vakansii/prodavec-konsultant-44594448.html;60000;70000;Super Job
